"","year","age","sex","maritl","race","education","region","jobclass","health","health_ins","wage"
"1685",2003,36," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",73.2930820722881
"1686",2005,45," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," No",130.982177377461
"1687",2008,33," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",276.778413321176
"1688",2009,36," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",86.9103277389946
"1689",2004,32," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
"1690",2009,45," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.884359339886
"1691",2003,51," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",104.921506533664
"1692",2005,33," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",136.876367635184
"1693",2003,47," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",84.0459576539924
"1694",2003,37," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",196.125272594255
"1695",2008,41," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",121.430313822622
"1696",2005,23," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",96.3977959023552
"1697",2009,57," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",128.680488220624
"1698",2006,61," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
"1699",2007,47," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",85.3839403789827
"1700",2003,29," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",87.9810327856054
"1701",2005,37," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
"1702",2005,57," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",148.413159102577
"1703",2004,39," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," No",81.2832532842527
"1704",2007,59," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",145.805163374625
"1705",2007,31," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",149.055895589404
"1706",2009,26," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",97.4932940453934
"1707",2009,51," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.019753340006
"1708",2006,38," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",99.6894636984864
"1709",2006,51," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," No",118.884359339886
"1710",2004,50," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",79.8549003093467
"1711",2005,32," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.884359339886
"1712",2007,38," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",160.642475408263
"1713",2005,49," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",176.989650489877
"1714",2005,40," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",73.7757432746946
"1715",2007,60," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",154.68529299563
"1716",2007,30," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",101.82435207568
"1717",2003,41," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",130.982177377461
"1718",2009,32," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",114.475713290347
"1719",2009,26," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",105.927810775063
"1720",2004,41," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",81.2832532842527
"1721",2008,53," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",134.705375118879
"1722",2005,35," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," No",97.4932940453934
"1723",2008,50," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
"1724",2004,43," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",171.765132627508
"1725",2003,50," Male"," Separated"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",67.8267871319966
"1726",2009,19," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Information"," <=Good"," No",73.7757432746946
"1727",2004,42," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",91.6992261117042
"1728",2007,53," Male"," Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",66.9616443217359
"1729",2004,22," Male"," Never Married"," Black"," Some College"," Middle Atlantic"," Information"," <=Good"," No",95.2307125669819
"1730",2003,49," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",98.5993438603892
"1731",2005,33," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
"1732",2005,31," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",81.2832532842527
"1733",2004,43," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",90.4819133566401
"1734",2009,57," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",109.833985642199
"1735",2005,40," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
"1736",2003,48," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",84.5294690248517
"1737",2004,46," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",101.82435207568
"1738",2009,58," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",104.921506533664
"1739",2003,50," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",104.921506533664
"1740",2005,38," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",99.6894636984864
"1741",2004,33," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",101.402052302992
"1742",2007,52," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",149.055895589404
"1743",2004,48," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",73.7757432746946
"1744",2006,53," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",160.642475408263
"1745",2008,37," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
"1746",2007,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",119.405204322401
"1747",2008,54," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",107.903923866876
"1748",2004,41," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",154.868367231559
"1749",2005,57," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," No",75.3556793180091
"1750",2007,54," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.539502533774
"1751",2009,25," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",76.8936025176112
"1752",2003,35," Male"," Separated"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",62.198679430261
"1753",2008,29," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",182.020620963512
"1754",2009,36," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",267.901086855275
"1755",2005,43," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",141.77517233318
"1756",2007,41," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",186.876677628007
"1757",2003,52," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",72.1504556815713
"1758",2005,48," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",49.5553381215226
"1759",2003,51," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",81.2832532842527
"1760",2004,55," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
"1761",2004,37," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",97.4932940453934
"1762",2007,48," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",111.720849360989
"1763",2003,42," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",101.82435207568
"1764",2007,43," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",127.115743812184
"1765",2006,32," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",87.9810327856054
"1766",2006,33," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",84.0459576539924
"1767",2003,48," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",78.3924668009837
"1768",2009,20," Male"," Never Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," No",46.3665027412862
"1769",2005,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",132.860765311572
"1770",2003,58," Male"," Divorced"," Black"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",61.5945831752282
"1771",2004,38," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
"1772",2008,23," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",66.2294082943902
"1773",2009,54," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",108.874525834712
"1774",2007,66," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," <=Good"," Yes",99.6894636984864
"1775",2009,47," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",152.838800991182
"1776",2003,35," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," No",76.8936025176112
"1777",2008,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",143.134940811134
"1778",2005,35," Male"," Never Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",125.20428658029
"1779",2006,40," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",75.610695863947
"1780",2006,41," Male"," Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
"1781",2004,40," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",176.989650489877
"1782",2006,50," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",59.0970640815891
"1783",2004,35," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
"1784",2009,43," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," No",95.2307125669819
"1785",2005,26," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",104.921506533664
"1786",2009,23," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",49.5553381215226
"1787",2003,61," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",130.982177377461
"1788",2004,24," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",43.7351116779821
"1789",2006,66," Male"," Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
"1790",2006,50," Male"," Widowed"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
"1791",2005,22," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," No",75.0431540173515
"1792",2004,62," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",91.6992261117042
"1793",2003,55," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",105.927810775063
"1794",2004,41," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",73.7757432746946
"1795",2005,54," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",170.156834417801
"1796",2009,29," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",138.299126920883
"1797",2004,39," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",101.82435207568
"1798",2006,71," Male"," Divorced"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," No",87.9810327856054
"1799",2003,22," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",78.3924668009837
"1800",2007,48," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",123.089699847943
"1801",2009,35," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",116.265324062503
"1802",2003,46," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," No",90.4819133566401
"1803",2003,51," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",109.833985642199
"1804",2005,55," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",104.921506533664
"1805",2005,36," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
"1806",2008,57," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",94.0727147457005
"1807",2005,21," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",141.77517233318
"1808",2006,60," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",128.680488220624
"1809",2006,41," Male"," Never Married"," Black"," Some College"," Middle Atlantic"," Industrial"," <=Good"," No",73.7757432746946
"1810",2004,56," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",139.353811767493
"1811",2005,32," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",94.0727147457005
"1812",2003,32," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",73.7757432746946
"1813",2006,36," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",107.903923866876
"1814",2006,28," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",64.5420748732979
"1815",2009,60," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," No",138.299126920883
"1816",2003,41," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",89.2428846644714
"1817",2006,55," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",99.6894636984864
"1818",2003,36," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
"1819",2006,46," Male"," Never Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",90.4819133566401
"1820",2008,62," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",89.4924795180001
"1821",2006,44," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",102.766280877288
"1822",2006,36," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.884359339886
"1823",2004,41," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
"1824",2006,22," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",114.475713290347
"1825",2008,51," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",129.983634818897
"1826",2008,57," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",110.782650276254
"1827",2005,55," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",114.475713290347
"1828",2003,36," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
"1829",2008,43," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",276.778413321176
"1830",2003,38," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," No",23.9529444789965
"1831",2006,27," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," No",103.90247060316
"1832",2007,32," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.884359339886
"1833",2009,44," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",71.6867436659172
"1834",2008,56," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",276.778413321176
"1835",2007,38," Male"," Married"," Black"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",141.77517233318
"1836",2003,36," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",99.6894636984864
"1837",2005,28," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",108.874525834712
"1838",2005,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",79.8549003093467
"1839",2008,42," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",78.9846061809321
"1840",2009,51," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",82.6796372966372
"1841",2004,55," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",89.4924795180001
"1842",2007,39," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",130.982177377461
"1843",2003,42," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",109.706051812711
"1844",2006,33," Male"," Married"," Black"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",117.146816914805
"1845",2008,23," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",73.7757432746946
"1846",2003,40," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",81.2832532842527
"1847",2003,40," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," No",80.8581959564691
"1848",2009,51," Male"," Married"," Asian"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",107.903923866876
"1849",2007,76," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",76.8936025176112
"1850",2007,57," Male"," Divorced"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," <=Good"," Yes",87.9810327856054
"1851",2003,27," Male"," Separated"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",95.2307125669819
"1852",2005,26," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",84.0459576539924
"1853",2005,25," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",99.6894636984864
"1854",2005,27," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",101.402052302992
"1855",2004,33," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",87.9810327856054
"1856",2003,51," Male"," Divorced"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",87.9810327856054
"1857",2005,22," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",94.0727147457005
"1858",2005,47," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",128.199636871795
"1859",2009,34," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",136.517655222436
"1860",2008,47," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",107.903923866876
"1861",2005,31," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",123.089699847943
"1862",2005,46," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",91.6992261117042
"1863",2006,47," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",78.3924668009837
"1864",2006,49," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",154.68529299563
"1865",2003,40," Male"," Married"," Black"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",136.15771083723
"1866",2004,51," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",81.2832532842527
"1867",2008,31," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",76.2832778539642
"1868",2003,58," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",109.833985642199
"1869",2005,48," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",87.7884362154584
"1870",2004,54," Male"," Divorced"," Black"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",127.115743812184
"1871",2007,56," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",154.072997206315
"1872",2007,61," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",109.833985642199
"1873",2009,32," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",138.299126920883
"1874",2007,60," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",164.646988930328
"1875",2006,42," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",138.299126920883
"1876",2003,22," Male"," Never Married"," Asian"," Some College"," Middle Atlantic"," Information"," >=Very Good"," No",44.9782920272516
"1877",2003,46," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",106.723977625299
"1878",2005,53," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",114.475713290347
"1879",2008,43," Male"," Divorced"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",73.7757432746946
"1880",2009,32," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",75.3556793180091
"1881",2009,30," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",141.77517233318
"1882",2009,50," Male"," Never Married"," Black"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",109.833985642199
"1883",2006,40," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",277.79948020565
"1884",2009,55," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",79.8549003093467
"1885",2004,42," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",166.324941233877
"1886",2004,35," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",75.3556793180091
"1887",2004,33," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",100.086742317948
"1888",2004,33," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",102.870246933215
"1889",2003,38," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.712094053725
"1890",2009,41," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",117.146816914805
"1891",2009,42," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",123.500017774584
"1892",2009,58," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
"1893",2009,45," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",76.8936025176112
"1894",2009,47," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",109.833985642199
"1895",2005,30," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",105.927810775063
"1896",2009,34," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",160.642475408263
"1897",2006,43," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",149.695042068453
"1898",2008,58," Male"," Separated"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
"1899",2009,44," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," <=Good"," No",104.923531700709
"1900",2005,28," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",61.1875264339915
"1901",2004,46," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",105.927810775063
"1902",2008,36," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",107.903923866876
"1903",2007,37," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",70.8150386167557
"1904",2008,47," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",160.642475408263
"1905",2007,56," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," No",99.6894636984864
"1906",2009,38," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",111.720849360989
"1907",2007,41," Male"," Never Married"," Black"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",75.3556793180091
"1908",2004,62," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",94.0727147457005
"1909",2004,40," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",87.9810327856054
"1910",2004,44," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",123.089699847943
"1911",2007,56," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
"1912",2008,51," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",76.8936025176112
"1913",2005,41," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",86.6951548289402
"1914",2005,52," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",176.989650489877
